,precision,recall,f1-score,support
0,0.08333333333333333,0.9166666666666666,0.1527777777777778,12.0
1,0.9088863892013498,0.7075306479859895,0.7956671590349581,2284.0
2,0.022222222222222223,0.02857142857142857,0.025,35.0
3,0.0544,0.3655913978494624,0.0947075208913649,93.0
4,0.40963855421686746,0.576271186440678,0.4788732394366197,59.0
5,0.0,0.0,0.0,6.0
6,0.9565217391304348,0.5789473684210527,0.7213114754098361,76.0
7,0.0,0.0,0.0,0.0
8,0.3026315789473684,0.6052631578947368,0.40350877192982454,38.0
9,0.7333333333333333,0.8461538461538461,0.7857142857142857,65.0
10,0.7011494252873564,0.7625,0.7305389221556886,80.0
11,0.7593582887700535,0.7932960893854749,0.7759562841530054,179.0
12,0.17142857142857143,0.2727272727272727,0.21052631578947367,22.0
13,0.5879828326180258,0.9013157894736842,0.7116883116883117,456.0
14,0.0,0.0,0.0,32.0
15,0.6956521739130435,0.8421052631578947,0.7619047619047619,38.0
16,0.0,0.0,0.0,83.0
17,0.0,0.0,0.0,80.0
18,0.0,0.0,0.0,12.0
19,0.74,0.8705882352941177,0.8,85.0
20,0.7384615384615385,0.8421052631578947,0.7868852459016393,57.0
21,0.992375366568915,0.5495290678791815,0.7073578595317725,3079.0
22,0.09541984732824428,0.7575757575757576,0.1694915254237288,33.0
23,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
24,0.6,0.8360655737704918,0.6986301369863014,61.0
25,0.023529411764705882,0.2826086956521739,0.04344193817878028,92.0
26,0.0,0.0,0.0,26.0
27,0.047619047619047616,0.3333333333333333,0.08333333333333333,3.0
28,1.0,0.71875,0.8363636363636363,32.0
29,0.6976744186046512,0.16483516483516483,0.26666666666666666,182.0
30,0.025974025974025976,0.4,0.04878048780487805,5.0
31,0.06832298136645963,0.22,0.10426540284360189,50.0
32,0.36,1.0,0.5294117647058824,9.0
33,0.0,0.0,0.0,11.0
34,0.9642857142857143,1.0,0.9818181818181818,27.0
35,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
36,0.7142857142857143,0.15337423312883436,0.25252525252525254,163.0
37,0.02666666666666667,0.2857142857142857,0.04878048780487805,7.0
38,0.0,0.0,0.0,162.0
39,0.71875,0.6388888888888888,0.6764705882352942,36.0
40,0.0,0.0,0.0,25.0
41,0.0,0.0,0.0,4.0
42,0.0,0.0,0.0,8.0
43,0.0,0.0,0.0,10.0
44,0.012422360248447204,0.18181818181818182,0.023255813953488372,11.0
45,0.0,0.0,0.0,6.0
46,0.0,0.0,0.0,6.0
47,0.875,1.0,0.9333333333333333,14.0
48,0.029411764705882353,0.08333333333333333,0.043478260869565216,12.0
49,0.0,0.0,0.0,22.0
50,0.0,0.0,0.0,3.0
51,0.34146341463414637,0.9333333333333333,0.5,15.0
52,0.625,0.3125,0.4166666666666667,16.0
53,0.21739130434782608,0.6666666666666666,0.32786885245901637,15.0
54,0.0,0.0,0.0,44.0
55,0.8918918918918919,0.2773109243697479,0.4230769230769231,119.0
56,0.2857142857142857,1.0,0.4444444444444444,2.0
57,0.2916666666666667,0.7777777777777778,0.42424242424242425,9.0
58,0.7023809523809523,0.7972972972972973,0.7468354430379747,74.0
59,0.0,0.0,0.0,9.0
60,0.8947368421052632,0.025954198473282442,0.050445103857566766,655.0
61,0.42857142857142855,0.75,0.5454545454545454,8.0
62,0.2,0.25,0.2222222222222222,8.0
63,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
64,0.5,0.2,0.2857142857142857,15.0
65,0.0,0.0,0.0,7.0
66,0.75,0.42857142857142855,0.5454545454545454,14.0
67,0.2830188679245283,0.7894736842105263,0.4166666666666667,38.0
68,0.0020408163265306124,0.125,0.004016064257028112,8.0
69,0.0,0.0,0.0,164.0
70,0.0,0.0,0.0,25.0
71,0.6666666666666666,0.4,0.5,5.0
72,0.0,0.0,0.0,0.0
accuracy,0.5202179836512262,0.5202179836512262,0.5202179836512262,0.5202179836512262
macro avg,0.33641632258388043,0.3815681321224396,0.3072766551416894,9175.0
weighted avg,0.7748714989646248,0.5202179836512262,0.5766516253761573,9175.0
