,precision,recall,f1-score,support
0,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
1,0.9110663983903421,0.9912434325744308,0.9494652967079052,2284.0
2,0.0,0.0,0.0,35.0
3,0.0,0.0,0.0,93.0
4,0.825,0.559322033898305,0.6666666666666666,59.0
5,0.0,0.0,0.0,6.0
6,0.9655172413793104,0.7368421052631579,0.835820895522388,76.0
7,0.0,0.0,0.0,0.0
8,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
9,0.9661016949152542,0.8769230769230769,0.9193548387096774,65.0
10,0.9156626506024096,0.95,0.9325153374233128,80.0
11,0.8705882352941177,0.8268156424581006,0.8481375358166189,179.0
12,0.03415559772296015,0.8181818181818182,0.06557377049180328,22.0
13,0.0,0.0,0.0,456.0
14,0.0,0.0,0.0,32.0
15,0.8717948717948718,0.8947368421052632,0.8831168831168831,38.0
16,0.42702702702702705,0.9518072289156626,0.5895522388059702,83.0
17,0.0,0.0,0.0,80.0
18,0.0891089108910891,0.75,0.1592920353982301,12.0
19,0.0,0.0,0.0,85.0
20,0.9629629629629629,0.9122807017543859,0.9369369369369369,57.0
21,0.9131083905643476,0.993179603767457,0.9514623522090853,3079.0
22,0.0,0.0,0.0,33.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,61.0
25,0.0,0.0,0.0,92.0
26,0.0,0.0,0.0,26.0
27,0.0,0.0,0.0,3.0
28,1.0,0.84375,0.9152542372881356,32.0
29,0.9358288770053476,0.9615384615384616,0.948509485094851,182.0
30,0.017857142857142856,0.2,0.03278688524590164,5.0
31,0.0,0.0,0.0,50.0
32,1.0,1.0,1.0,9.0
33,0.0,0.0,0.0,11.0
34,0.7714285714285715,1.0,0.8709677419354839,27.0
35,0.0,0.0,0.0,6.0
36,0.7647058823529411,0.7177914110429447,0.740506329113924,163.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,162.0
39,0.8928571428571429,0.6944444444444444,0.78125,36.0
40,0.5,0.12,0.1935483870967742,25.0
41,0.0,0.0,0.0,4.0
42,1.0,0.25,0.4,8.0
43,0.0,0.0,0.0,10.0
44,0.0,0.0,0.0,11.0
45,0.0,0.0,0.0,6.0
46,0.0,0.0,0.0,6.0
47,0.9333333333333333,1.0,0.9655172413793104,14.0
48,0.0,0.0,0.0,12.0
49,0.0,0.0,0.0,22.0
50,0.0,0.0,0.0,3.0
51,0.4,0.4,0.4,15.0
52,0.5,0.5625,0.5294117647058824,16.0
53,0.19117647058823528,0.8666666666666667,0.3132530120481928,15.0
54,0.0,0.0,0.0,44.0
55,0.7769784172661871,0.907563025210084,0.8372093023255814,119.0
56,0.022727272727272728,1.0,0.044444444444444446,2.0
57,0.0,0.0,0.0,9.0
58,0.0,0.0,0.0,74.0
59,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
60,0.8059701492537313,0.9068702290076336,0.853448275862069,655.0
61,0.875,0.875,0.875,8.0
62,0.0,0.0,0.0,8.0
63,0.8125,0.8666666666666667,0.8387096774193549,15.0
64,0.625,0.3333333333333333,0.43478260869565216,15.0
65,0.0,0.0,0.0,7.0
66,0.24528301886792453,0.9285714285714286,0.3880597014925373,14.0
67,0.0,0.0,0.0,38.0
68,0.0,0.0,0.0,8.0
69,0.0,0.0,0.0,164.0
70,0.0,0.0,0.0,25.0
71,0.0,0.0,0.0,5.0
73,0.0,0.0,0.0,0.0
accuracy,0.7734059945504087,0.7734059945504087,0.7734059945504087,0.7734059945504087
macro avg,0.32950321112505904,0.3631555566808691,0.3158050720030491,9175.0
weighted avg,0.7161234246504027,0.7734059945504087,0.7394540443486688,9175.0
