precision,recall,f1-score,support
0.980440097799511,0.9624,0.9713362939039161,1250.0
0.9911433172302737,0.9848,0.9879614767255217,1250.0
0.9804081632653061,0.9608,0.9705050505050505,1250.0
0.9951768488745981,0.9904,0.9927826784282278,1250.0
0.9595645412130638,0.9872,0.973186119873817,1250.0
0.9827044025157232,1.0,0.9912767644726408,1250.0
0.9792,0.9792,0.9792,1250.0
0.9928,0.9928,0.9928,1250.0
0.996802557953637,0.9976,0.9972011195521792,1250.0
0.9992,0.9992,0.9992,1250.0
0.9991974317817014,0.996,0.9975961538461539,1250.0
0.9967923015236567,0.9944,0.9955947136563876,1250.0
0.9944,0.9944,0.9944,1250.0
0.9872813990461049,0.9936,0.9904306220095693,1250.0
0.0,0.0,0.0,0.0
0.9880571428571429,0.9880571428571429,0.9880571428571429,0.9880571428571429
0.9223407374135718,0.9221866666666668,0.9222313995315642,17500.0
0.9882222186573982,0.9880571428571429,0.988105070926676,17500.0
